Interview number (ongoing),Serial number (if provided),Questionnaire that has been used in the interview,Language,Random Generator: Code drawn,starost: [01],pol,mesto: [01],mesto_opstina,mesto_latitude,mesto_longitude,region,mesto_osn: [01],etnicitet,etnicitet: Drugo,country,država,država: Drugo,obrazovanje,obrazovanje_oca,obrazovanje_majke,educationgross,judgment,item condition,INFvDPC,benchmark gram,Modality,wurm,phasal
160,CASE000159,list2,srp,2,19,2,Prokuplje,Prokuplje,43.2343484,21.5884422,5,Prokuplje,4,,Serbia,4,,3,3,4,10,,modepiinf,1,,,,
169,CASE000167,list2,srp,2,19,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,4,3,10,,modepiinf,1,,,,
170,CASE000165,list1,srp,1,23,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,3,3,9,4,modepiinf,1,,,,
171,CASE000166,list1,srp,1,24,2,Bačka Palanka,Bačka Palanka,45.2497012,19.3966495,4,Bačka Palanka,4,,Serbia,4,,3,2,3,8,5,modepiinf,1,,,,
174,CASE000172,list1,srp,1,21,1,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,3,5,11,5,modepiinf,1,,,,
175,CASE000173,list2,srp,2,19,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Loznica,4,,Serbia,4,,3,3,4,10,,modepiinf,1,,,,
177,CASE000176,list1,srp,1,19,2,Kruševac,Kruševac,43.58264,21.3264811,6,Kruševac,4,,Serbia,4,,3,3,4,10,1,modepiinf,1,,,,
180,CASE000178,list2,srp,2,23,1,Vladimirovac,Alibunar,45.0318784,20.8654002,4,Vladimirovac,6,Rumun,Serbia,4,,3,3,3,9,,modepiinf,1,,,,
185,CASE000181,list1,srp,1,20,2,Mladenovo,Bačka Palanka,45.2497012,19.3966495,4,Mladenovo,4,,Serbia,4,,3,3,3,9,3,modepiinf,1,,,,
186,CASE000179,list1,srp,1,22,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Temerin,4,,Serbia,4,,4,3,3,10,5,modepiinf,1,,,,
187,CASE000184,list2,srp,2,20,1,Senta,Senta,45.9312407,20.0901597,4,Senta,4,,Serbia,4,,3,4,4,11,,modepiinf,1,,,,
189,CASE000188,list1,srp,1,19,2,Šabac,Šabac,44.7571535,19.6953972,6,Šabac,4,,Serbia,4,,3,3,4,10,4,modepiinf,1,,,,
191,CASE000190,list2,srp,2,20,1,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,3,3,9,,modepiinf,1,,,,
201,CASE000197,list1,srp,1,20,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,3,3,9,2,modepiinf,1,,,,
202,CASE000199,list1,srp,1,22,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Vršac,4,,Serbia,4,,3,3,3,9,4,modepiinf,1,,,,
203,CASE000200,list1,srp,1,21,2,Vrbas,Vrbas,45.568028,19.6470089,4,Vrbas,4,,Serbia,4,,3,2,3,8,5,modepiinf,1,,,,
208,CASE000204,list2,srp,2,23,1,Bajina Bašta,Bajina Bašta,43.9712226,19.5660149,6,Bajina Bašta,4,,Serbia,4,,3,3,3,9,,modepiinf,1,,,,
211,CASE000210,list1,srp,1,22,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,3,4,10,4,modepiinf,1,,,,
217,CASE000216,list1,srp,1,20,2,Novi Bečej,Novi Bečej,45.5952571,20.1343581,4,Novi Bečej,4,,Serbia,4,,3,3,3,9,5,modepiinf,1,,,,
223,CASE000220,list2,srp,2,20,2,Novi Bečej,Novi Bečej,45.5952571,20.1343581,4,Novi Bečej,4,,Serbia,4,,3,3,3,9,,modepiinf,1,,,,
224,CASE000221,list2,srp,2,19,2,Sremska Kamenica,Sremska Kamenica,45.2551338,19.8451756,6,Sremska Kamenica,4,,Serbia,4,,3,3,3,9,,modepiinf,1,,,,
228,CASE000226,list2,srp,2,21,1,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Subotica,4,,Serbia,4,,3,4,3,10,,modepiinf,1,,,,
231,CASE000230,list1,srp,1,24,2,Inđija,Inđija,45.0478559,20.0807338,4,Novi Sad,4,,Serbia,4,,4,3,3,10,4,modepiinf,1,,,,
232,CASE000229,list1,srp,1,22,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,4,4,11,5,modepiinf,1,,,,
235,CASE000233,list1,srp,1,20,2,Ruski Krstur,Kula,43.8874059,22.5203916,4,Ruski Krstur,6,Rusinka,Serbia,4,,3,3,3,9,4,modepiinf,1,,,,
237,CASE000236,list1,srp,1,20,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Šid,6,Slovakinja,Serbia,4,,3,3,3,9,5,modepiinf,1,,,,
239,CASE000234,list2,srp,2,24,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,4,3,4,11,,modepiinf,1,,,,
241,CASE000238,list2,srp,2,20,1,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,5,,Serbia,4,,3,4,4,11,,modepiinf,1,,,,
242,CASE000240,list2,srp,2,21,1,Šabac,Šabac,44.7571535,19.6953972,6,Šabac,4,,Serbia,4,,3,4,3,10,,modepiinf,1,,,,
245,CASE000243,list1,srp,1,21,2,Sremska Kamenica,Sremska Kamenica,45.2551338,19.8451756,6,Sremska Kamenica,4,,Serbia,4,,3,3,3,9,5,modepiinf,1,,,,
248,CASE000247,list2,srp,2,22,2,Bela Crkva,Bela Crkva,44.901587,21.422117,4,Bela Crkva,4,,Serbia,4,,4,3,3,10,,modepiinf,1,,,,
250,CASE000249,list2,srp,2,22,2,Zrenjanin,Zrenjanin,45.3802683,20.3907614,4,Zrenjanin,4,,Serbia,4,,3,5,4,12,,modepiinf,1,,,,
252,CASE000251,list1,srp,1,19,2,Stejanovci,Ruma,45.0078322,19.8187834,4,Sremska Mitrovica,4,,Serbia,4,,3,3,3,9,,modepiinf,1,,,,
260,CASE000258,list1,srp,1,23,2,Međa,Žitište,45.4833996,20.5519957,4,Međa,4,,Serbia,4,,3,3,2,8,4,modepiinf,1,,,,
266,CASE000264,list2,srp,2,23,1,Zrenjanin,Zrenjanin,45.3802683,20.3907614,4,Zrenjanin,4,,Serbia,4,,3,4,4,11,,modepiinf,1,,,,
267,CASE000265,list2,srp,2,27,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Kula,4,,Serbia,4,,4,4,3,11,,modepiinf,1,,,,
270,CASE000268,list2,bos,2,19,2,Bijeljina,Bijeljina,44.7568464,19.2156628,1,Bijeljina,4,,Bosnia and Herzegovina,1,,3,3,3,9,,modepiinf,1,,,,
273,CASE000272,list2,srp,2,22,2,Bački Jarak,Temerin,45.4096587,19.8901507,4,Bački Jarak,4,,Serbia,4,,4,4,4,12,,modepiinf,1,,,,
275,CASE000274,list2,srp,2,20,2,Titel,Titel,45.2043941,20.3060414,4,Titel,4,,Serbia,4,,3,4,3,10,,modepiinf,1,,,,
277,CASE000276,list2,srp,2,21,2,Šabac,Šabac,44.7571535,19.6953972,6,Šabac,4,,Serbia,4,,3,3,3,9,,modepiinf,1,,,,
280,CASE000279,list1,srp,1,Novi Sad,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,4,4,11,3,modepiinf,1,,,,
282,CASE000281,list1,srp,1,20,1,Vranje,Vranje,42.5558337,21.8976673,5,Vranje,4,,Serbia,4,,3,3,3,9,5,modepiinf,1,,,,
285,CASE000284,list2,srp,2,20,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,5,4,12,,modepiinf,1,,,,
288,CASE000286,list1,bos,1,21,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Zvornik,4,,Serbia,4,,3,4,4,11,5,modepiinf,1,,,,
291,CASE000290,list1,srp,1,21,2,Bor,Bor,44.0778456,22.0991779,5,Bor,4,,Serbia,4,,3,3,4,10,1,modepiinf,1,,,,
