Interview number (ongoing),Serial number (if provided),Reference (if provided in link),Questionnaire that has been used in the interview,Interview mode,Language,Time the interview has started (Europe/Berlin),"Random Generator: Complete clearances of the ballot, yet",Random Generator: Code drawn,starost: [01],pol,mesto_opstina,mesto_osn: [01],etnicitet,etnicitet: Drugo,country,država: Drugo,obrazovanje,obrazovanje_oca,obrazovanje_majke
964,0,0,base,interview,hrv,45180.92,0,1,48,2,Osijek,Osijek,5,0,3,0,5,4,4
966,0,0,base,interview,hrv,45181.52,0,1,32,1,Zagreb,Zagreb,3,0,3,0,5,3,3
969,0,0,base,interview,hrv,45181.54,0,1,27,2,Zagreb,Novska,3,0,3,0,4,3,3
970,0,0,base,interview,hrv,45181.54,0,2,24,1,Dugo Selo,Dugo Selo,3,0,3,0,3,3,4
973,0,0,base,interview,hrv,45181.55,0,1,36,2,Zagreb,Novigrad,3,0,3,0,5,3,3
975,0,0,base,interview,hrv,45181.55,0,2,29,1,Zagreb,Zagreb,3,0,3,0,4,4,4
977,0,0,base,interview,hrv,45181.57,0,1,20,2,Zagreb,Zagreb,3,0,3,0,3,4,4
979,0,0,base,interview,hrv,45181.58,0,2,32,2,Zagreb,Zagreb,3,0,3,0,4,4,3
981,0,0,base,interview,hrv,45181.59,0,2,25,2,Zagreb,Zagreb,3,0,3,0,4,4,4
988,0,0,base,interview,hrv,45182.54,0,1,36,2,Zagreb,Osijek,3,0,3,0,5,4,3
990,0,0,base,interview,hrv,45182.81,0,2,33,2,Zagreb,Belišće,3,0,3,0,4,3,4
992,0,0,base,interview,hrv,45182.81,0,2,33,2,Zagreb,Belišće,3,0,3,0,4,3,4
994,0,0,base,interview,hrv,45182.91,0,2,32,2,Varaždin,Bedekovčina,3,0,3,0,4,3,3
997,0,0,base,interview,srp,45183.97,0,2,39,2,Laznica,Laznica,6,Vlajna,4,0,2,3,2
999,0,0,base,interview,srp,45183.98,0,2,39,2,Laznica,Laznica,6,Vlajna,4,0,2,3,2
1001,0,0,base,interview,srp,45184.4,0,2,36,2,Beograd,Obrenovac,4,0,4,0,5,4,4
1003,0,0,base,interview,srp,45184.46,0,1,36,1,Beograd,Beograd,5,0,4,0,4,4,4
1005,0,0,base,interview,srp,45184.47,0,2,34,2,Beograd,Beograd,5,0,4,0,5,3,3
1007,0,0,base,interview,srp,45184.52,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,0,0,base,interview,srp,45184.57,0,1,34,1,Beograd,Šabac,4,0,4,0,5,4,3
1012,0,0,base,interview,srp,45184.61,0,2,37,2,Beograd,Pirot,4,0,4,0,5,4,4
1014,0,0,base,interview,srp,45184.64,0,2,36,2,Beograd,Brus,4,0,4,0,5,4,4
1016,0,0,base,interview,srp,45184.79,0,2,37,2,Београд,Лозница,4,0,4,0,4,4,4
1019,0,0,base,interview,hrv,45185.39,0,2,20,2,Osijek,Osijek,3,0,3,0,3,2,3
1021,0,0,base,interview,hrv,45185.43,0,2,20,2,Osijek,Osijek,3,0,3,0,3,3,5
1023,0,0,base,interview,hrv,45185.48,0,2,19,2,Osijek,Osijek,3,0,3,0,3,4,4
1025,0,0,base,interview,hrv,45185.48,0,2,20,2,Slatina,Slatina,3,0,3,0,3,3,3
1028,0,0,base,interview,hrv,45185.5,0,2,19,2,Podravski Podgajci,Podravski Podgajci,3,0,3,0,3,4,4
1032,0,0,base,interview,hrv,45185.53,0,1,20,2,Zagreb,Semeljci,3,0,3,0,3,4,3
